City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
280,Port Blair,IN,11.67,92.75,1596406396,82.11,80,100,25.95
281,Gouré,NE,13.98,10.27,1596406396,79.74,68,8,13.82
282,Muravlenko,RU,63.79,74.52,1596406397,61.34,70,1,11.27
283,Tahe,CN,52.33,124.73,1596406397,54.36,95,100,6.58
284,Kendari,ID,-3.94,122.5,1596406397,72.61,92,85,2.59
285,Crema,IT,45.36,9.67,1596406397,75,93,93,5.99
286,Berlevåg,NO,70.86,29.09,1596406398,48.2,100,75,16.11
287,Ko Samui,TH,9.54,99.94,1596406131,83.68,77,100,28.95
288,Uribia,CO,11.71,-72.27,1596406398,92.86,48,23,9.04
289,Praia,CV,14.92,-23.51,1596406398,82.4,78,75,11.41
290,Léo,BF,11.1,-2.1,1596406398,73.89,84,92,7.96
291,Vuktyl,RU,63.86,57.31,1596406399,58.46,89,91,10.65
292,Lavumisa,SZ,-27.31,31.89,1596406399,56.8,91,0,4.9
293,San Patricio,MX,19.22,-104.7,1596406399,91.4,70,20,11.41
294,Merritt Island,US,28.54,-80.67,1596406400,84.2,74,40,13.87
295,Republic,US,37.12,-93.48,1596406400,84.2,51,40,9.17
296,Otane,NZ,-39.88,176.63,1596406400,45,95,62,3.36
297,Mareeba,AU,-17,145.43,1596406400,66.99,96,28,3.09
298,Winnemucca,US,40.97,-117.74,1596406400,98.6,5,1,6.93
299,Mushie,CD,-3.02,16.9,1596406401,82.63,44,41,2.46
300,Green River,US,41.53,-109.47,1596406401,91.4,10,1,13.87
301,Tonj,SS,7.27,28.68,1596406401,71.24,96,100,2.71
302,Joigny,FR,47.98,3.4,1596406401,61,59,59,6.02
303,Jalu,LY,29.03,21.55,1596406402,82.54,46,0,9.71
304,Ahipara,NZ,-35.17,173.17,1596406402,59.7,74,35,9.66
305,Władysławowo,PL,54.79,18.4,1596406402,69.01,77,98,4.7
306,Bermejo,AR,-32.88,-68.8,1596406402,59.49,33,0,7.31
307,Oudtshoorn,ZA,-33.59,22.2,1596406403,53.6,66,0,4.7
308,Kaitangata,NZ,-46.28,169.85,1596406403,50,83,100,1.99
309,Bubaque,GW,11.28,-15.83,1596406403,80.98,84,99,11.63
310,Ambovombe,MG,-25.17,46.08,1596406404,63.3,73,0,18.45
311,Coruripe,BR,-10.13,-36.18,1596406404,72.77,83,15,9.8
312,Otjimbingwe,NA,-22.35,16.13,1596406404,58.3,32,0,6.55
313,Acaraú,BR,-2.89,-40.12,1596406136,78.42,80,10,13.53
314,Buala,SB,-8.14,159.59,1596406405,83.07,74,26,6.69
315,Kasamwa,TZ,-2.85,32.43,1596406405,61.59,48,0,5.61
316,Bata,GQ,1.86,9.77,1596406405,80.6,83,40,10.29
317,Ghanzi,BW,-21.57,21.78,1596406405,52.32,42,0,6.06
318,Kuril'sk,RU,45.23,147.88,1596406406,64.26,81,7,6.51
319,Alofi,NU,-19.06,-169.92,1596406406,78.8,69,81,9.17
320,Hurricane,US,37.18,-113.29,1596406369,107.01,11,0,4
321,Mosquera,CO,4.71,-74.23,1596406406,66.2,39,75,9.17
322,Russell,US,32.35,-85.2,1596406406,95,36,1,4.7
323,Pajapan,MX,18.25,-94.7,1596406407,87.8,66,40,11.41
324,Bambous Virieux,MU,-20.34,57.76,1596406407,69.8,68,75,14.99
325,Isangel,VU,-19.55,169.27,1596406407,70.92,63,5,11.74
326,Tanabe,JP,33.73,135.37,1596406407,82,84,75,3.18
327,Hambantota,LK,6.12,81.12,1596406408,77,100,20,11.41
328,Ballina,AU,-28.87,153.57,1596406408,54,100,20,5.55
329,Malicboy,PH,13.98,121.79,1596406408,77.2,85,100,2.15
330,São Félix do Xingu,BR,-6.64,-51.99,1596406409,79.32,45,48,0.25
331,Caravelas,BR,-17.71,-39.25,1596406409,70.81,68,11,10.83
332,Conceição do Araguaia,BR,-8.26,-49.26,1596406409,83.3,38,0,3.98
333,Fortuna,US,40.6,-124.16,1596406299,70,80,11,3
334,Raychikhinsk,RU,49.78,129.41,1596406409,67.37,91,98,13.13
335,Kavieng,PG,-2.57,150.8,1596406410,83.07,76,16,6.93
336,Tanout,NE,14.97,8.89,1596406410,85.75,55,27,9.44
337,Madimba,TZ,-10.4,40.33,1596406410,71.6,94,20,11.41
338,Geraldton,AU,-28.77,114.6,1596406410,55.4,82,40,17.22
339,Puerto Colombia,CO,10.99,-74.95,1596406411,91.4,66,40,13.87
340,St. George's,GD,12.06,-61.75,1596406411,86,79,40,16.11
341,Keti Bandar,PK,24.14,67.45,1596406411,85.86,79,92,15.03
342,Windsor,CA,42.3,-83.02,1596406411,73,83,90,14.99
343,Belvedere Marittimo,IT,39.62,15.86,1596406412,80.01,58,0,2.1
344,Hobyo,SO,5.35,48.53,1596406412,78.89,72,87,21.88
345,Monze,ZM,-16.28,27.48,1596406412,51.98,56,0,4.25
346,Burnie,AU,-41.07,145.92,1596406413,45,76,98,10
347,Rodrigues Alves,BR,-7.74,-72.65,1596406413,85.71,47,8,0.47
348,Baruun-Urt,MN,46.68,113.28,1596406413,57.16,83,58,9.04
349,Thinadhoo,MV,0.53,72.93,1596406350,82.67,77,98,11.5
350,Marsabit,KE,2.33,37.99,1596406414,62.58,73,63,23.26
351,Teya,RU,60.38,92.63,1596406414,53.28,75,0,0.65
352,Gazojak,TM,41.19,61.4,1596406414,80.55,23,0,6.51
353,Krasnyy Yar,RU,46.53,48.35,1596406414,71.6,60,40,7.67
354,Sobolevo,RU,54.43,31.9,1596406415,50.72,85,42,1.5
355,Avera,US,33.19,-82.53,1596406415,93.2,46,1,8.41
356,Padang,ID,-0.95,100.35,1596406415,76.53,78,66,5.06
357,Uglegorsk,RU,49.08,142.03,1596406415,60.58,92,100,11.07
358,Salaga,GH,8.55,-0.52,1596406416,74.48,83,89,2.62
359,Wawa,NG,9.9,4.42,1596406416,75.2,89,100,4.99
360,Lebu,CL,-37.62,-73.65,1596406416,52.29,92,68,6.71
361,Warmbad,NA,-28.45,18.73,1596406417,65.41,24,0,9.28
362,Vostochnyy,RU,55.82,37.87,1596406417,57.2,82,0,6.71
363,Makokou,GA,0.57,12.86,1596406417,72.3,80,91,5.19
364,Zabul Province,AF,32.25,67.25,1596406417,66.45,23,0,8.55
365,Caboolture,AU,-27.08,152.95,1596406265,55.99,98,70,2.8
366,Birjand,IR,32.87,59.22,1596406418,71.6,21,0,4.7
367,Tamiahua,MX,21.27,-97.45,1596406418,86.58,67,20,11.03
368,Cambridge,CA,43.36,-80.31,1596406396,73.99,88,90,18.34
369,Sal Rei,CV,16.18,-22.92,1596406419,82.4,74,20,11.41
370,Pimentel,PE,-6.84,-79.93,1596406419,66.2,72,20,18.34
371,Glens Falls,US,43.31,-73.64,1596406010,84.99,62,40,16.11
